0,1,2,3,4,5,6,7
FIVE (5) BEDROOMS SELF-CONTAINED HOUSE FOR SALE-TECHIMAN,"Beds: 5, Baths: 1",MEMBER,"Brong-Ahafo, Houses","GH₵ 100,000",,,
Executive 6 Bedroom House For Sale At East Legon Hills,"Beds: 6, Baths: 6",MEMBER,"Accra, Houses","GH₵ 2,223,000",20 hours,,
Luxurious 4 Bedrooms Hse & 1B's Qtrs For Rent,"Beds: 4, Baths: 5",MEMBER,"Accra, Houses","GH₵ 20,300",20 hours,,
Luxurious 4 Bedrooms House for Sale at Agiringano,"Beds: 4, Baths: 5",MEMBER,"Accra, Houses","GH₵ 2,610,000",20 hours,,
Executive 4 Bedrom House For Sale At East Legon Ogbojo,"Beds: 4, Baths: 4",MEMBER,"Accra, Houses","GH₵ 1,295,780",20 hours,,
6 bedroom house with Swimming pool for Sale at McCarthy Hills,"Beds: 6, Baths: 6",MEMBER,"Accra, Houses","GH₵ 3,127,000",20 hours,,
newly built 4bedroom house for sale at Agbogba,"Beds: 4, Baths: 4",MEMBER,"Greater Accra, Houses","GH₵ 1,000,000",20 hours,,
FULLY FURNISHED 3 BEDROOMS NEWLY BUILT FOR AALE AT EAST LEGON HILLS,"Beds: 4, Baths: 4",MEMBER,"Accra, Houses","GH₵ 850,000",20 hours,,
Executive 4 Bedroom House For Sale At Lakeside Estate,"Beds: 4, Baths: 4",MEMBER,"Accra, Houses","GH₵ 971,835",20 hours,,
Executive 3 Bedroom House For Sale At Spintex,"Beds: 3, Baths: 4",MEMBER,"Accra, Houses","GH₵ 590,000",20 hours,,
3 bedrooms house with big land at Ahinsan Estate,"Beds: 3, Baths: 2",MEMBER,"Kumasi, Houses","GH₵ 280,000",20 hours,,
Newly built 2bedroom house for sale at Agbogba,"Beds: 2, Baths: 2",MEMBER,"Greater Accra, Houses","GH₵ 500,000",20 hours,,
Executive 3 Bedroom House For Sale At Adenta,"Beds: 3, Baths: 4",MEMBER,"Accra, Houses","GH₵ 675,000",20 hours,,
2 bedroom uncompleted for sale east legon,"Beds: 2, Baths: 3","Accra, Houses","GH₵ 250,000",,,,
EXECUTIVE 4 BEDROOMS WITH BQ FOR RENT AT LAKESIDE,"Beds: 4, Baths: 4",MEMBER,"Accra, Houses","GH₵ 4,000",21 hours,,
EXEC 4 B/R 1 BQS SWIM POOL AT CANTONMENTS,"Beds: 4, Baths: 5",MEMBER,"Accra, Houses","GH₵ 3,135,000",21 hours,,
2bedroom house for sale at East legon-Hills,"Beds: 2, Baths: 2",MEMBER,"Accra, Houses","GH₵ 700,000",21 hours,,
Exec 4 B/r Hus 1 Bqs At school junction,"Beds: 4, Baths: 5",MEMBER,"Accra, Houses","GH₵ 1,450,000",21 hours,,
An Executive luxurious 4bed House Fully furnished east legon hills,"Beds: 4, Baths: 5",MEMBER,"Accra, Houses","GH₵ 825,000",21 hours,,
Self compound house for sale at kasoa Colomba,"Beds: 4, Baths: 5","Accra, Houses","GH₵ 430,000",".top-ad-badge_svg__st1,.top-ad-badge_svg__st2,.top-ad-badge_svg__st8{fill-rule:evenodd;clip-rule:evenodd;fill:#4780b2}.top-ad-badge_svg__st2,.top-ad-badge_svg__st8{fill:#3b566e}.top-ad-badge_svg__st8{fill:#666}.top-ad-badge_svg__st9{opacity:.12}", ,TOP AD,
4 BEDROOM HOUSE FOR SALE EAST LEGON,"Beds: 4, Baths: 5",MEMBER,"Accra, Houses","GH₵ 1,300,000",".top-ad-badge_svg__st1,.top-ad-badge_svg__st2,.top-ad-badge_svg__st8{fill-rule:evenodd;clip-rule:evenodd;fill:#4780b2}.top-ad-badge_svg__st2,.top-ad-badge_svg__st8{fill:#3b566e}.top-ad-badge_svg__st8{fill:#666}.top-ad-badge_svg__st9{opacity:.12}", ,TOP AD
4 bedroom house for sale at Airport,"Beds: 4, Baths: 2",MEMBER,"Accra, Houses","GH₵ 2,874,630",21 hours,,
4 Bedroom House +Bq for Sale at Lakeside,"Beds: 4, Baths: 5",MEMBER,"Accra, Houses","GH₵ 1,482,000",21 hours,,
Newly built 3bedroom house for sale at Ashongman,"Beds: 3, Baths: 3",MEMBER,"Accra, Houses","GH₵ 2,166,000",21 hours,,
3bedroom house at Daban kumasi for sale,"Beds: 3, Baths: 4",MEMBER,"Kumasi, Houses","GH₵ 550,000",21 hours,,
EXEC 4 B/R HUS WITH SWIM POOL AT CANTONMENT,"Beds: 4, Baths: 5",MEMBER,"Accra, Houses","GH₵ 3,135,000",21 hours,,
EXEC 5 B/R HUS ON 100/140 PLOT SIZE AT AWOSHIE RESIDENTIAL,"Beds: 5, Baths: 6",MEMBER,"Accra, Houses","GH₵ 741,000",1 day,,
Spintex 4 bedrooms house Boys quarter,"Beds: 4, Baths: 6",MEMBER,"Accra, Houses","GH₵ 2,565,000",,,
Executive 4 Bedroom House For Sale At Airport,"Beds: 4, Baths: 4",MEMBER,"Accra, Houses","GH₵ 2,457,000",1 day,,
4bedroom house for sale at Adenta housing,"Beds: 4, Baths: 4",MEMBER,"Accra, Houses","GH₵ 2,350,000",1 day,,
Selling 4bedroom house@Tema community 25,"Beds: 4, Baths: 5",MEMBER,"Greater Accra, Houses","GH₵ 1,140,000",,,
4 Bedroom house at Kasoa Oboam Rd. (close to interchange),"Beds: 4, Baths: 2","Greater Accra, Houses","GH₵ 290,000",,,,
3 Bedrooms House For Sale At Tesano,"Beds: 3, Baths: 3",MEMBER,"Accra, Houses","GH₵ 2,065,000",1 day,,
newly built 5 bedroom house for sale at Ofankor Barrier,"Beds: 5, Baths: 5",MEMBER,"Accra, Houses","GH₵ 977,373",1 day,,
5 bedroom home for sale at adenta,"Beds: 5, Baths: 2",MEMBER,"Accra, Houses","GH₵ 2,012,240",1 day,,
4BEDRM HSE +2 SHOPS+BQ 4SALE@SPINTEX,"Beds: 4, Baths: 5",MEMBER,"Accra, Houses","GH₵ 1,400,000",1 day,,
5 BEDRM HOUSE + 1 BQ & SWIMMING POOL@EAST LEGON,"Beds: 5, Baths: 5",MEMBER,"Accra, Houses","GH₵ 4,480,000",1 day,,
4 bedroom storey for sale at Airport,"Beds: 4, Baths: 2",MEMBER,"Accra, Houses","GH₵ 2,874,630",1 day,,
for sale 3 bedroom house swimming pool. @Tema Community 25,"Beds: 3, Baths: 4",MEMBER,"Greater Accra, Houses","GH₵ 1,650,000",1 day,,
for sale 5 bedroom house@East Legon Trasacco,"Beds: 5, Baths: 6",MEMBER,"Accra, Houses","GH₵ 9,700,000",1 day,,
"For sale,4bedroom house @East Legon","Beds: 4, Baths: 5",MEMBER,"Accra, Houses","GH₵ 3,120,000",1 day,,
Selling this 4 bedroom house@Spintex,"Beds: 4, Baths: 5",MEMBER,"Accra, Houses","GH₵ 969,000",1 day,,
6 BEDROOM HSE GOING CHEAP,"Beds: 6, Baths: 4","Accra, Houses","GH₵ 520,500",,,,
Selling 4 bedroom house@East Legon,"Beds: 4, Baths: 5",MEMBER,"Accra, Houses","GH₵ 2,109,000",1 day,,
Selling this 4 bedroom house@Tema community 25,"Beds: 4, Baths: 5",MEMBER,"Greater Accra, Houses","GH₵ 1,254,000",1 day,,
9 bedrooms for sale in krispol - kasoa. No agency fees.,"Beds: 9, Baths: 8","Central, Houses","GH₵ 870,000",,,,
3 bedroom house at Lakeside,"Beds: 3, Baths: 4",MEMBER,"Accra, Houses","GH₵ 395,000",".top-ad-badge_svg__st1,.top-ad-badge_svg__st2,.top-ad-badge_svg__st8{fill-rule:evenodd;clip-rule:evenodd;fill:#4780b2}.top-ad-badge_svg__st2,.top-ad-badge_svg__st8{fill:#3b566e}.top-ad-badge_svg__st8{fill:#666}.top-ad-badge_svg__st9{opacity:.12}", ,TOP AD
this 4 bedroom house @Ashaley Botwe Lakeside Estate,"Beds: 4, Baths: 5",MEMBER,"Accra, Houses","GH₵ 1,710,000",".top-ad-badge_svg__st1,.top-ad-badge_svg__st2,.top-ad-badge_svg__st8{fill-rule:evenodd;clip-rule:evenodd;fill:#4780b2}.top-ad-badge_svg__st2,.top-ad-badge_svg__st8{fill:#3b566e}.top-ad-badge_svg__st8{fill:#666}.top-ad-badge_svg__st9{opacity:.12}", ,TOP AD
Tse Ado Behind Trade Fair 4 Bedroooms House For Sale,"Beds: 4, Baths: 4",MEMBER,"Accra, Houses","GH₵ 1,254,000",1 day,,
Awoshie Deeper Life 5 Bedrooms House For Sale,"Beds: 5, Baths: 5",MEMBER,"Accra, Houses","GH₵ 798,000",1 day,,
3 BEDROOM HOUSE FOR SALE IN TEMA,"Beds: 3, Baths: 4",MEMBER,"Greater Accra, Houses","GH₵ 696,000",1 day,,
5bedroom house for sale at Spintex comm 18,"Beds: 5, Baths: 5",MEMBER,"Accra, Houses","GH₵ 1,750,000",1 day,,
Newly built 5 bedrooms house at Sofoline.,"Beds: 5, Baths: 6",MEMBER,"Kumasi, Houses","GH₵ 950,000",1 day,,
Newly built 4bedroom house for sale at North legon,"Beds: 4, Baths: 4",MEMBER,"Accra, Houses","GH₵ 1,500,000",1 day,,
3 B/r Houus Uncompleted House for sale at East Legon Hills,"Beds: 3, Baths: 2",MEMBER,"Accra, Houses","GH₵ 350,000",1 day,,
Awesome 4 Bedrm Hse & 1B's Qtrs Selling East Legon,"Beds: 4, Baths: 5",MEMBER,"Accra, Houses","GH₵ 2,610,000",1 day,,
3 Bedroom House for sale at East Legon Hills,"Beds: 3, Baths: 2",MEMBER,"Accra, Houses","GH₵ 551,000",1 day,,
3 Bedroom House for sale at East Legon Hills,"Beds: 3, Baths: 2",MEMBER,"Accra, Houses","GH₵ 1,015,429",1 day,,
2 Bedroom Detach House for sale at East Legon Hills,"Beds: 2, Baths: 2",MEMBER,"Accra, Houses","GH₵ 609,000",1 day,,
4 bed house for sale at pokuase fisea,"Beds: 4, Baths: 5",MEMBER,"Accra, Houses","GH₵ 500,000",1 day,,
Luxurious 4 Bedrooms Hse & 1B's Qtrs Haasto,"Beds: 4, Baths: 5",MEMBER,"Accra, Houses","GH₵ 2,436,000",1 day,,
Luxurious 4 Bedrooms House & 2 B's Qtrs East Legon,"Beds: 4, Baths: 5",MEMBER,"Accra, Houses","GH₵ 2,610,000",1 day,,
3 Bedroom House for sale at East Legon Hills,"Beds: 3, Baths: 3",MEMBER,"Accra, Houses","GH₵ 1,334,000",1 day,,
3 Bedroom Detached (StarFish) for sale at Lakeside,"Beds: 3, Baths: 3",MEMBER,"Accra, Houses","GH₵ 725,000",1 day,,
3 Bedroom House in a Gated Comm East Legon Hills,"Beds: 3, Baths: 4",MEMBER,"Accra, Houses","GH₵ 550,000",1 day,,
New 3 bedrooms house with big land at Ejisu Achiaa krom,"Beds: 3, Baths: 3",MEMBER,"Kumasi, Houses","GH₵ 260,000",1 day,,
4 bedrooms house for sale at Nyankyerenease,"Beds: 4, Baths: 4",MEMBER,"Kumasi, Houses","GH₵ 380,000",1 day,,
Executive newly built 6 bedrooms house at Tech Oduom,"Beds: 6, Baths: 7",MEMBER,"Kumasi, Houses","GH₵ 1,700,000",1 day,,
Nice 5 bedrooms house at Ahodwo Daban New Site,"Beds: 5, Baths: 6",MEMBER,"Kumasi, Houses","GH₵ 1,200,000",1 day,,
Newly built executive 4 bedrooms house at Atasomanso residential,"Beds: 4, Baths: 5",MEMBER,"Kumasi, Houses","GH₵ 850,000",1 day,,
selling this 3bedroom house@Ashaley Botwe,"Beds: 3, Baths: 4",MEMBER,"Accra, Houses","GH₵ 450,000",1 day,,
"Exec 4 B/r House Detach,2 Bq for Sale East Legon","Beds: 4, Baths: 5",MEMBER,"Accra, Houses","GH₵ 2,610,000",1 day,,
5 Bedroom Furnished House for Sale at Agiringano/Ability,"Beds: 6, Baths: 7",MEMBER,"Accra, Houses","GH₵ 4,930,000",1 day,,
Selling this 4bedroom house@ East Legon,"Beds: 5, Baths: 4",MEMBER,"Accra, Houses","GH₵ 1,995,000",".top-ad-badge_svg__st1,.top-ad-badge_svg__st2,.top-ad-badge_svg__st8{fill-rule:evenodd;clip-rule:evenodd;fill:#4780b2}.top-ad-badge_svg__st2,.top-ad-badge_svg__st8{fill:#3b566e}.top-ad-badge_svg__st8{fill:#666}.top-ad-badge_svg__st9{opacity:.12}", ,TOP AD
Fantasic 4bedroom With Boysquarters At Spintex Hfc Estate Comm 18,"Beds: 4, Baths: 5",MEMBER,"Accra, Houses","GH₵ 1,350,000",".top-ad-badge_svg__st1,.top-ad-badge_svg__st2,.top-ad-badge_svg__st8{fill-rule:evenodd;clip-rule:evenodd;fill:#4780b2}.top-ad-badge_svg__st2,.top-ad-badge_svg__st8{fill:#3b566e}.top-ad-badge_svg__st8{fill:#666}.top-ad-badge_svg__st9{opacity:.12}", ,TOP AD
4 Bedroom House for Sale at East Legon,"Beds: 5, Baths: 6",MEMBER,"Accra, Houses","GH₵ 2,520,000",1 day,,
3 Bedroom House for sale at Lakeside,"Beds: 3, Baths: 4",MEMBER,"Accra, Houses","GH₵ 420,000",1 day,,
2 Bedroom Unfurnished House for Sale at East Legon Hills,"Beds: 2, Baths: 3",MEMBER,"Accra, Houses","GH₵ 476,000",1 day,,
2 Bedroom Semi-detached Expandable to 3 for sale@Oyibi,"Beds: 2, Baths: 2",MEMBER,"Accra, Houses","GH₵ 427,500",1 day,,
3 Bedroom Detached with 1 Bq for Sale @Oyibi,"Beds: 3, Baths: 4",MEMBER,"Accra, Houses","GH₵ 1,008,900",1 day,,
5 Bedroom House now Selling at Spintex. East Airport,"Beds: 5, Baths: 6",MEMBER,"Accra, Houses","GH₵ 3,705,000",1 day,,
"5BEDROOM HOUSE FOR SALE AT AWOSHIE(REG=GHC100, COMM=10%)","Beds: 5, Baths: 4",MEMBER,"Accra, Houses","GH₵ 800,000",2 days,,
Newly built luxurious 4 bedroom for sale at East Legon.,"Beds: 4, Baths: 5",MEMBER,"Accra, Houses","GH₵ 1,734,200",2 days,,
Executive 3bed/1bq 4sale at east legon hills light house church,"Beds: 3, Baths: 4",MEMBER,"Accra, Houses","GH₵ 750,000",2 days,,
3 Bedrooms Full House For Sale At Kasoa Amuzu,"Beds: 3, Baths: 3",MEMBER,"Accra, Houses","GH₵ 250,000",2 days,,
